General Rank,US News Ranking,F1 Slots Ranking,Regional Ranking,University,City,State,% Chance,Rank Class (Estimated),Private / Public,Category
,,196,58,University of New Haven,West Haven,Connecticut,60% to 69%,Average,Private,Regional Universities
299-391,299-391,299-391,-,University of Bridgeport,Bridgeport,Connecticut,50% to 59%,Below Average,Private,National Universities
,,282,85,Eastern Connecticut State University,Willimantic,Connecticut,50% to 59%,Below Average,Private,Regional Universities
,,316,97,Albertus  Magnus  College,New Haven,Connecticut,50% to 59%,Below Average,Public,Regional Universities
,,326,103,Central  Connecticut State University,New Britain,Connecticut,50% to 59%,Below Average,Private,Regional Universities
,,344,109,Southern  Connecticut State University,New Haven,Connecticut,50% to 59%,Below Average,Private,Regional Universities
,,379,119,Western  Connecticut State University,Danbury,Connecticut,50% to 59%,Below Average,Public,Regional Universities
,,,131-171,Post University,Waterbury,Connecticut,50% to 59%,Below Average,Private,Regional Universities
95,93,94,-,University of Delaware,Delware,Delaware,80% to 89%,Very Good,Public,National Universities
263,263,263,-,Delaware  State University,Dover,Delaware,60% to 69%,Average,Public,National Universities
299-391,299-391,299-391,-,Wilmington University,New Castle,Delaware,50% to 59%,Below Average,Private,National Universities
,,25,1,Rollins College,Winter Park,Florida,90% to 99%,Excellent,Private,Regional Universities
35,28,31,-,University of Florida,Gainsville,Florida,90% to 99%,Excellent,Public,National Universities
,,37,5,Stetson University,Deland,Florida,90% to 99%,Excellent,Private,Regional Universities
,,46,8,Florida Southern  College,Lakeland,Florida,80% to 89%,Very Good,Private,Regional Universities
48,55,51,-,University of Miami,Miami,Florida,80% to 89%,Very Good,Public,National Universities
,,52,10,Embry-Riddle Aeronautical University,Daytona  Beach,Florida,80% to 89%,Very Good,Private,Regional Universities
78,55,66,-,Florida State University,Tallahassee,Florida,80% to 89%,Very Good,Public,National Universities
78,103,90,-,University of South Florida,Tampa,Florida,80% to 89%,Very Good,Public,National Universities
,,64,14,University of Tampa,Tampa,Florida,70% to 79%,Good,Private,Regional Universities
148,148,148,-,University of Central  Florida,Orlando,Florida,70% to 79%,Good,Public,National Universities
162,162,162,-,Florida International University,Miami,Florida,70% to 79%,Good,Private,National Universities
202,202,202,-,Florida Institute  of Technology,Melbourne,Florida,60% to 69%,Average,Private,National Universities
202,202,202,-,Florida A&M University,Tallahassee,Florida,60% to 69%,Average,Public,National Universities
213,213,213,-,Nova Southeastern University,Ft. Lauderdale,Florida,60% to 69%,Average,Public,National Universities
263,263,263,-,University of North Florida,Jacksonville,Florida,60% to 69%,Average,Public,National Universities
277,277,277,-,Florida Atlantic University,Boca Raton,Florida,60% to 69%,Average,Private,National Universities
299-391,299-391,299-391,-,Palm Beach Atlantic University,West Palm Beach,Florida,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Barry University,Miami Shores,Florida,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Keiser University,Ft. Lauderdale,Florida,50% to 59%,Below Average,Private,National Universities
22,21,21,-,Emory University,Atlanta,Georgia,90% to 99%,Excellent,Private,National Universities
,,34,4,Berry College,Mount Berry,Georgia,90% to 99%,Excellent,Private,Regional Universities
38,38,38,-,Georgia  Institute  of Technology,Atlanta,Georgia,90% to 99%,Excellent,Public,National Universities
72,48,60,-,University of Georgia,Athens,Georgia,90% to 99%,Excellent,Public,National Universities
162,162,162,-,Mercer University,Macon,Georgia,70% to 79%,Good,Private,National Universities
239,239,239,-,Georgia  State University,Atlanta,Georgia,60% to 69%,Average,Public,National Universities
299-391,299-391,299-391,-,Georgia  Southern  University,Statesboro,Georgia,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Kennesaw  State University,Kennesaw,Georgia,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of West Georgia,Carrollton,Georgia,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Valdosta  State University,Valdosta,Georgia,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Augusta  University,Augusta,Georgia,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Clark Atlanta  University,Atlanta,Georgia,50% to 59%,Below Average,Private,National Universities
,,295,90,University of Guam,Mangilao,Guam,60% to 69%,Average,Public,Regional Universities
,,100,25,Chaminade University of Honolulu,Honolulu,Hawaii,70% to 79%,Good,Private,Regional Universities
97,162,129,-,University of Hawaii--Manoa,Manoa,Hawaii,70% to 79%,Good,Public,National Universities
,,232,70,Hawaii Pacific University,Honolulu,Hawaii,60% to 69%,Average,Private,Regional Universities
288,288,288,-,University of Hawaii at Hilo,Hilo,Hawaii,60% to 69%,Average,Public,National Universities
179,179,179,-,University of Idaho,Moscow,Idaho,70% to 79%,Good,Public,National Universities
,,178,51,Northwest Nazarene  University,Nampa,Idaho,60% to 69%,Average,Private,Regional Universities
299-391,299-391,299-391,-,Boise State University,Boise,Idaho,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Idaho State University,Pocatello,Idaho,50% to 59%,Below Average,Public,National Universities
11,6,8,-,University of Chicago,Chicago,Illinois,90% to 99%,Excellent,Private,National Universities
16,9,12,-,Northwestern University,Chicago,Illinois,90% to 99%,Excellent,Private,National Universities
,,28,2,Bradley University,Peoria,Illinois,90% to 99%,Excellent,Private,Regional Universities
30,47,38,-,University of Illinois--Urbana-Champaign,Urbana Champaign,Illinois,90% to 99%,Excellent,Public,National Universities
,,55,10,Dominican University,River Forest,Illinois,80% to 89%,Very Good,Private,Regional Universities
36,103,69,-,University of Illinois--Chicago,Illinois,Illinois,80% to 89%,Very Good,Public,National Universities
80,122,101,-,Illinois Institute  of Technology,Chicago,Illinois,80% to 89%,Very Good,Private,National Universities
103,103,103,-,Loyola University Chicago,Chicago,Illinois,80% to 89%,Very Good,Private,National Universities
,,76,17,Elmhurst  University,Elmhurst,Illinois,70% to 79%,Good,Private,Regional Universities
,,84,19,Lewis University,Romeoville,Illinois,70% to 79%,Good,Private,Regional Universities
,,87,19,North Central  College,Naperville,Illinois,70% to 79%,Good,Private,Regional Universities
,,112,30,University of Illinois--Springfield,Springfield,Illinois,70% to 79%,Good,Public,Regional Universities
127,127,127,-,DePaul University,Chicago,Illinois,70% to 79%,Good,Private,National Universities
,,145,41,North Park University,Chicago,Illinois,70% to 79%,Good,Private,Regional Universities
,,187,54,Eastern Illinois University,Charleston,Illinois,60% to 69%,Average,Public,Regional Universities
,,189,54,McKendree University,Lebanon,Illinois,60% to 69%,Average,Private,Regional Universities
,,192,54,Saint Xavier University,Chicago,Illinois,60% to 69%,Average,Private,Regional Universities
,,199,54,Western  Illinois University,Macomb,Illinois,60% to 69%,Average,Public,Regional Universities
202,202,202,-,Illinois State University,Normal,Illinois,60% to 69%,Average,Public,National Universities
,,205,61,Concordia  University Chicago,River Forest,Illinois,60% to 69%,Average,Private,Regional Universities
,,219,64,Olivet Nazarene  University,Bourbonnais,Illinois,60% to 69%,Average,Private,Regional Universities
249,249,249,-,University of St. Francis,Joliet,Illinois,60% to 69%,Average,Private,National Universities
263,263,263,-,Southern  Illinois University--Carbondale,Carbondale,Illinois,60% to 69%,Average,Public,National Universities
,,289,88,Columbia  College Chicago,Chicago,Illinois,60% to 69%,Average,Private,Regional Universities
,,312,95,Greenville University,Greenville,Illinois,60% to 69%,Average,Private,Regional Universities
,,315,95,Judson University,Elgin,Illinois,60% to 69%,Average,Private,Regional Universities
299-391,299-391,299-391,-,Roosevelt  University,Chicago,Illinois,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Trinity International University,Deerfield,Illinois,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Northern  Illinois University,DeKalb,Illinois,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Aurora  University,Aurora,Illinois,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Benedictine University,Lisle,Illinois,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,National  Louis University,Chicago,Illinois,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Southern  Illinois University Edwardsville,Edwardsville,Illinois,50% to 59%,Below Average,Public,National Universities
,,,119-157,Chicago State University,Chicago,Illinois,50% to 59%,Below Average,Public,Regional Universities
,,,119-157,DeVry University,Naperville,Illinois,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Governors State University,University Park,Illinois,50% to 59%,Below Average,Public,Regional Universities
,,,119-157,Northeastern Illinois University,Chicago,Illinois,50% to 59%,Below Average,Public,Regional Universities
,,,119-157,Rockford  University,Rockford,Illinois,50% to 59%,Below Average,Private,Regional Universities
,,25,1,Butler University,Indianapolis,Indiana,90% to 99%,Excellent,Private,Regional Universities
47,19,33,-,University of Notre Dame,Notre Dame,Indiana,90% to 99%,Excellent,Private,National Universities
,,43,7,University of Evansville,Evansville,Indiana,80% to 89%,Very Good,Private,Regional Universities
53,49,51,-,Purdue University--West Lafayette,West Lafayetta,Indiana,80% to 89%,Very Good,Public,National Universities
75,68,71,-,Indiana  University--Bloomington,Bloomington,Indiana,80% to 89%,Very Good,Public,National Universities
,,82,19,Indiana  Wesleyan  University,Marion,Indiana,70% to 79%,Good,Private,Regional Universities
,,106,27,Marian University (IN),Indianapolis,Indiana,70% to 79%,Good,Private,Regional Universities
,,118,31,Huntington University,Huntington,Indiana,70% to 79%,Good,Private,Regional Universities
,,148,41,Saint Mary-of-the-Woods College,St. Mary-of-the-Wo,Indiana,70% to 79%,Good,Private,Regional Universities
,,160,46,Anderson  University (IN),Anderson,Indiana,70% to 79%,Good,Private,Regional Universities
,,163,46,Bethel University (IN),Mishawaka,Indiana,70% to 79%,Good,Private,Regional Universities
172,172,172,-,Valparaiso  University,Valparaiso,Indiana,70% to 79%,Good,Private,National Universities
196,196,196,-,Indiana  University Purdue University India,Indianapolis,Indiana,70% to 79%,Good,Public,National Universities
202,202,202,-,Ball State University,Muncie,Indiana,60% to 69%,Average,Public,National Universities
,,232,69,Trine University,Angola,Indiana,60% to 69%,Average,Private,Regional Universities
,,237,69,University of Saint Francis,Fort Wayne,Indiana,60% to 69%,Average,Private,Regional Universities
239,239,239,-,University of Indianapolis,Indianapolis,Indiana,60% to 69%,Average,Private,National Universities
,,299,88,University of Southern  Indiana,Evansville,Indiana,60% to 69%,Average,Public,Regional Universities
,,340,106,Grace College and Seminary,Winona  Lake,Indiana,50% to 59%,Below Average,Private,Regional Universities
,,343,106,Purdue University--Fort Wayne,Fort Wayne,Indiana,50% to 59%,Below Average,Public,Regional Universities
,,349,108,Indiana  Tech,Fort Wayne,Indiana,50% to 59%,Below Average,Private,Regional Universities
,,358,112,Indiana  University East,Richmond,Indiana,50% to 59%,Below Average,Public,Regional Universities
,,366,112,Purdue University--Northwest,Hammond,Indiana,50% to 59%,Below Average,Public,Regional Universities
299-391,299-391,299-391,-,Indiana  State University,Terre Haute,Indiana,50% to 59%,Below Average,Public,National Universities
,,,119-157,Calumet  College of St. Joseph,Whiting,Indiana,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Indiana  University Northwest,Gary,Indiana,50% to 59%,Below Average,Public,Regional Universities
,,,119-157,Indiana  University--South Bend,South Bend,Indiana,50% to 59%,Below Average,Public,Regional Universities
,,,119-157,Indiana  University Southeast,New Albany,Indiana,50% to 59%,Below Average,Public,Regional Universities
99,83,91,-,University of Iowa,Iowa City,Iowa,80% to 89%,Very Good,Public,National Universities
,,89,19,University of Northern  Iowa,Cedar Falls,Iowa,70% to 79%,Good,Public,Regional Universities
,,108,27,St. Ambrose  University,Davenport,Iowa,70% to 79%,Good,Private,Regional Universities
122,122,122,-,Iowa State University of Science  and Tech,Ames,Iowa,70% to 79%,Good,Public,National Universities
136,136,136,-,Drake University,Des Moines,Iowa,70% to 79%,Good,Private,National Universities
,,169,49,Buena Vista University,Storm Lake,Iowa,70% to 79%,Good,Private,Regional Universities
,,180,51,Mount Mercy University,Cedar Rapids,Iowa,60% to 69%,Average,Private,Regional Universities
,,208,61,Morningside University,Sioux City,Iowa,60% to 69%,Average,Private,Regional Universities
,,234,69,University of Dubuque,Dubuque,Iowa,60% to 69%,Average,Private,Regional Universities
239,239,239,-,Clarke University,Dubuque,Iowa,60% to 69%,Average,Private,National Universities
,,,119-157,Graceland  University,Lamoni,Iowa,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Maharishi  International University,Fairfield,Iowa,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Upper Iowa University,Fayette,Iowa,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Waldorf  University,Forest City,Iowa,50% to 59%,Below Average,Private,Regional Universities
92,122,107,-,University of Kansas,Kansas City,Kansas,80% to 89%,Very Good,Public,National Universities
162,162,162,-,Kansas State University,Manhattan,Kansas,70% to 79%,Good,Public,National Universities
263,263,263,-,Baker University,Baldwin City,Kansas,60% to 69%,Average,Private,National Universities
,,271,82,Emporia  State University,Emporia,Kansas,60% to 69%,Average,Public,Regional Universities
,,296,88,Pittsburg  State University,Pittsburg,Kansas,60% to 69%,Average,Public,Regional Universities
,,310,95,Friends  University,Wichita,Kansas,60% to 69%,Average,Private,Regional Universities
,,328,101,University of Saint Mary,Leavenworth,Kansas,50% to 59%,Below Average,Private,Regional Universities
,,346,108,Fort Hays State University,Hays,Kansas,50% to 59%,Below Average,Public,Regional Universities
,,363,112,Newman  University,Wichita,Kansas,50% to 59%,Below Average,Private,Regional Universities
,,373,117,MidAmerica Nazarene  University,Olathe,Kansas,50% to 59%,Below Average,Private,Regional Universities
299-391,299-391,299-391,-,Washburn  University,Topeka,Kansas,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Wichita  State University,Wichita,Kansas,50% to 59%,Below Average,Public,National Universities
,,,119-157,Southwestern College,Winfield,Kansas,50% to 59%,Below Average,Private,Regional Universities
,,61,13,Asbury University,Wilmore,Kentucky,70% to 79%,Good,Private,Regional Universities
127,127,127,-,University of Kentucky,Lexington,Kentucky,70% to 79%,Good,Public,National Universities
187,187,187,-,University of Louisville,Louisville,Kentucky,70% to 79%,Good,Public,National Universities
202,202,202,-,Bellarmine University,Louisville,Kentucky,60% to 69%,Average,Private,National Universities
299-391,299-391,299-391,-,Spalding  University,Louisville,Kentucky,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,University of the Cumberlands,Williamsburg,Kentucky,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Northern  Kentucky  University,Highland Heights,Kentucky,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Western  Kentucky  University,Bowling  Green,Kentucky,50% to 59%,Below Average,Public,National Universities
76,42,59,-,Tulane University,New Orleans,Louisiana,90% to 99%,Excellent,Private,National Universities
172,172,172,-,Louisiana  State University--Baton Rouge,Baton Rouge,Louisiana,70% to 79%,Good,Public,National Universities
202,202,202,-,Loyola University New Orleans,New Orleans,Louisiana,60% to 69%,Average,Private,National Universities
277,277,277,-,Louisiana  Tech University,Ruston,Louisiana,60% to 69%,Average,Public,National Universities
299-391,299-391,299-391,-,University of New Orleans,New Orleans,Louisiana,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,University of Louisiana  at Lafayette,Lafayette,Louisiana,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Louisiana--Monroe,Monroe,Louisiana,50% to 59%,Below Average,Public,National Universities
213,213,213,-,University of Maine,Orono,Maine,60% to 69%,Average,Public,National Universities
249,249,249,-,University of New England,Biddeford,Maine,60% to 69%,Average,Private,National Universities
299-391,299-391,299-391,-,Husson University,Bangor,Maine,50% to 59%,Below Average,Private,National Universities
,,,131-171,St. Joseph's  College (ME),Standish,Maine,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Thomas  College,Waterville,Maine,50% to 59%,Below Average,Public,Regional Universities
,,,Unranked,University of Southern  Maine,Portland,Maine,50% to 59%,Below Average,Public,Regional Universities
14,9,11,-,Johns Hopkins  University,Baltimore,Maryland,90% to 99%,Excellent,Private,National Universities
,,34,4,Loyola University Maryland,Baltimore,Maryland,90% to 99%,Excellent,Private,Regional Universities
52,52,52,-,University of Maryland--College Park,College Park,Maryland,80% to 89%,Very Good,Public,National Universities
87,162,124,-,University of Maryland--Baltimore County,Baltimore,Maryland,70% to 79%,Good,Public,National Universities
196,196,196,-,Towson University,Towson,Maryland,70% to 79%,Good,Private,National Universities
,,123,31,McDaniel  College,Westminster,Maryland,60% to 69%,Average,Private,Regional Universities
,,170,45,Mount St. Mary University,Emmitsburg,Maryland,60% to 69%,Average,Private,Regional Universities
,,177,50,Hood College,Frederick,Maryland,60% to 69%,Average,Private,Regional Universities
299-391,299-391,299-391,-,Morgan State University,Baltimore,Maryland,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Maryland  Eastern Shore,Princess  Anne,Maryland,50% to 59%,Below Average,Public,National Universities
,,223,66,Notre Dame University of Maryland,Baltimore,Maryland,50% to 59%,Below Average,Private,Regional Universities
,,226,67,Salisbury University,Salisburg,Maryland,50% to 59%,Below Average,Private,Regional Universities
,,277,85,Stevenson University,Stevenson,Maryland,50% to 59%,Below Average,Private,Regional Universities
,,354,109,Frostburg  State University,Frostburg,Maryland,50% to 59%,Below Average,Public,Regional Universities
,,364,114,University of Baltimore,Baltimore,Maryland,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Bowie State University,Bowie,Maryland,50% to 59%,Below Average,Public,Regional Universities
,,,131-171,Coppin State University,Baltimore,Maryland,50% to 59%,Below Average,Public,Regional Universities
,,,131-171,University of Maryland  Global Campus,Adelphi,Maryland,50% to 59%,Below Average,Public,Regional Universities
,,,Unranked,Washington Adventist  University,Takoma  Park,Maryland,50% to 59%,Below Average,Private,Regional Universities
1,2,1,-,Harvard University,Harvard,Massachusetts,90% to 99%,Excellent,Private,National Universities
